filename,id2,date,NDVI,blue,green,narrow_nir,nir,rdg_1,rdg_2,rdg_3,red,swir1,swir2
2_20181223T043201_20181223T043736_T45QZG_00000000000000000006,md_acchu_sheik_dha33,12/23/2018,0.426924585,775.9470199,991.4900662,2118.476821,2227.94702,1260.470199,1905.682119,2055.470199,894.589404,2010.708609,1425.887417
2_20181223T043201_20181223T043736_T46QBM_00000000000000000006,md_acchu_sheik_dha33,12/23/2018,0.416989069,803.3561644,1011.013699,2166.856164,2198.020548,1318.849315,1969.808219,2111.123288,904.239726,2072.020548,1505.020548
2_20181228T043209_20181228T043927_T46QBM_00000000000000000006,md_acchu_sheik_dha33,12/28/2018,0.409054643,945.5753425,1078.328767,2342.232877,2305.472603,1345.513699,2017.630137,2201.212329,966.3835616,2189.979452,1752.479452
2_20181228T043209_20181228T043927_T45QZG_00000000000000000006,md_acchu_sheik_dha33,12/28/2018,0.407609931,949.3046358,1088.463576,2244.337748,2306.218543,1315.496689,1953.933775,2129.794702,970.2781457,2097.589404,1652.728477
2_20190102T043151_20190102T043514_T45QZG_00000000000000000006,md_acchu_sheik_dha33,1/2/2019,0.578985396,476.4569536,841.0331126,2620,2658.490066,1262.688742,2288.291391,2542.443709,710.9933775,2300.05298,1642.284768
2_20190102T043151_20190102T043514_T46QBM_00000000000000000006,md_acchu_sheik_dha33,1/2/2019,0.562779535,491.8767123,847.1849315,2645.205479,2592.30137,1409.438356,2321.136986,2551.376712,725.6164384,2435.075342,1813.383562
2_20190107T043149_20190107T043708_T46QBM_00000000000000000006,md_acchu_sheik_dha33,1/7/2019,0.592738877,526.1369863,820.7123288,2730.424658,2668.020548,1283.643836,2305.047945,2603.30137,681.869863,2311.869863,1776.267123
2_20190107T043149_20190107T043708_T45QZG_00000000000000000006,md_acchu_sheik_dha33,1/7/2019,0.604789589,509.3443709,818.3245033,2536.821192,2730.635762,1178.099338,2230.344371,2518.821192,673.4701987,2121.986755,1561.728477
2_20190112T043141_20190112T043642_T46QBM_00000000000000000006,md_acchu_sheik_dha33,1/12/2019,0.531788807,766.1917808,997.8493151,2656.869863,2722.438356,1374.10274,2301.061644,2482.828767,828.7465753,2166.534247,1607.136986
2_20190112T043141_20190112T043642_T45QZG_00000000000000000006,md_acchu_sheik_dha33,1/12/2019,0.530551497,763.8278146,993.6490066,2716.589404,2724.900662,1291.463576,2345.503311,2545.238411,832.8741722,2049.384106,1391.205298
2_20190117T043119_20190117T043639_T46QBM_00000000000000000006,md_acchu_sheik_dha33,1/17/2019,0.508200568,818.8835616,1048.452055,2741.232877,2787.60274,1405.513699,2398.020548,2578.061644,901.9315068,2283.226027,1770.061644
2_20190117T043119_20190117T043639_T45QZG_00000000000000000006,md_acchu_sheik_dha33,1/17/2019,0.511654617,823.6291391,1048.119205,2770.774834,2793.774834,1330.980132,2325.384106,2608.821192,899.3576159,2185.231788,1654.05298
2_20190122T043101_20190122T043322_T46QBM_00000000000000000006,md_acchu_sheik_dha33,1/22/2019,0.675919633,544.130137,831.3835616,2874.205479,3388.027397,1272.767123,2456.294521,2781.479452,646.7534247,2168.5,1567.136986
2_20190122T043101_20190122T043322_T45QZG_00000000000000000006,md_acchu_sheik_dha33,1/22/2019,0.675401061,535.9801325,829.7086093,3023.761589,3377.721854,1211.913907,2546.13245,2774.827815,647.6622517,2038.523179,1432.655629
2_20190127T043039_20190127T043627_T45QZG_00000000000000000006,md_acchu_sheik_dha33,1/27/2019,0.490127944,968.7748344,1125.218543,2769.377483,2762.543046,1319.940397,2360.006623,2669.258278,942.6887417,2018.562914,1503.417219
2_20190127T043039_20190127T043627_T46QBM_00000000000000000006,md_acchu_sheik_dha33,1/27/2019,0.488344479,981.6712329,1129.150685,2724.363014,2731.452055,1393.09589,2328.246575,2661.650685,932.9863014,2167.493151,1690.143836
2_20190201T043011_20190201T044135_T46QBM_00000000000000000006,md_acchu_sheik_dha33,2/1/2019,0.779068791,442.0684932,780.8356164,3354.993151,4086.143836,1293.835616,2973.020548,3343.143836,498.1027397,2188.952055,1511.458904
2_20190201T043011_20190201T044135_T45QZG_00000000000000000006,md_acchu_sheik_dha33,2/1/2019,0.791190678,383.2847682,752.8278146,3591.463576,4181.430464,1210.854305,3023.337748,3434.622517,479.0198675,2065.635762,1339.953642
2_20190206T042949_20190206T043539_T45QZG_00000000000000000006,md_acchu_sheik_dha33,2/6/2019,0.641330615,765.3576159,977.1788079,3209.251656,3497.086093,1263.874172,2647.390728,3016.801325,759.8874172,2023.807947,1344.178808
2_20190206T042949_20190206T043539_T46QBM_00000000000000000006,md_acchu_sheik_dha33,2/6/2019,0.638661744,771.3835616,977.2808219,3088.363014,3473.972603,1329.5,2570.308219,2945.349315,760.5890411,2141.924658,1609.452055
2_20190211T042921_20190211T043121_T46QBM_00000000000000000006,md_acchu_sheik_dha33,2/11/2019,0.780650653,382.390411,770.239726,3436.684932,4297.212329,1240.356164,2810.650685,3243.541096,519.9657534,2111.130137,1511.493151
2_20190211T042921_20190211T043121_T45QZG_00000000000000000006,md_acchu_sheik_dha33,2/11/2019,0.785567944,362.0331126,756.2980132,3774.423841,4317.119205,1203.602649,3077.178808,3439.251656,512.1258278,2040.006623,1333.675497
2_20190221T042811_20190221T043725_T46QBM_00000000000000000006,md_acchu_sheik_dha33,2/21/2019,0.684953198,617.2465753,901.4452055,3172.767123,3524.863014,1269.390411,2570.054795,2942.575342,655.6438356,1985.438356,1312.561644
2_20190221T042811_20190221T043725_T45QZG_00000000000000000006,md_acchu_sheik_dha33,2/21/2019,0.685647815,616.5364238,900.7880795,3227.211921,3520.503311,1226.86755,2647.529801,2894.980132,653.410596,1917.854305,1204.89404
2_20190303T042701_20190303T042658_T46QBM_00000000000000000006,md_acchu_sheik_dha33,3/3/2019,0.661221747,507.7945205,786.3767123,3081.027397,3010.671233,1334.69863,2630.520548,2890.506849,612.7465753,2259.006849,1498.513699
2_20190303T042701_20190303T042658_T45QZG_00000000000000000006,md_acchu_sheik_dha33,3/3/2019,0.651778753,497.5496689,795.602649,3076.549669,2953.483444,1230.099338,2691.642384,2939.655629,620.9271523,2115.086093,1340.622517
2_20190308T042659_20190308T044054_T46QBM_00000000000000000006,md_acchu_sheik_dha33,3/8/2019,0.635856667,563.2260274,812.4794521,3086.958904,2912.787671,1315.883562,2668.719178,2955.068493,648.3219178,2430.109589,1717.856164
2_20190308T042659_20190308T044054_T45QZG_00000000000000000006,md_acchu_sheik_dha33,3/8/2019,0.633189664,560.2384106,811.2317881,3052.476821,2899.456954,1245.81457,2546.417219,2886.615894,649.615894,2252.443709,1489.821192
2_20190318T042659_20190318T043234_T46QBM_00000000000000000006,md_acchu_sheik_dha33,3/18/2019,0.459869779,639.9383562,785.630137,2077.910959,1868.520548,974.2191781,1793.109589,2060.356164,688.5684932,1148.739726,699.1780822
2_20190318T042659_20190318T043234_T45QZG_00000000000000000006,md_acchu_sheik_dha33,3/18/2019,0.469321026,612.8211921,766.3311258,2137.357616,1875.350993,952.0662252,1771.801325,2082.834437,674.9006623,1108.880795,673.0066225
2_20190323T042701_20190323T043918_T46QBM_00000000000000000006,md_acchu_sheik_dha33,3/23/2019,0.486723564,647.2534247,978.3356164,3381.30137,2772.945205,1487,2954.075342,3314.150685,958.4246575,2630.89726,1800.938356
2_20190323T042701_20190323T043918_T45QZG_00000000000000000006,md_acchu_sheik_dha33,3/23/2019,0.499571556,650.8874172,982.1059603,3502.112583,2821.662252,1403.907285,2907.754967,3272.218543,940.8145695,2563.218543,1697.933775
2_20190328T042709_20190328T043805_T46QBM_00000000000000000006,md_acchu_sheik_dha33,3/28/2019,0.553446157,603.0136986,947.5068493,3364.90411,3109.479452,1515.945205,2848.047945,3228.527397,881.4931507,2753.849315,2022.5
2_20190328T042709_20190328T043805_T45QZG_00000000000000000006,md_acchu_sheik_dha33,3/28/2019,0.555939332,598.6357616,941.2980132,3498.966887,3094.437086,1447.384106,2894.18543,3325.635762,874.0596026,2635.013245,1864.178808
2_20190402T042701_20190402T044018_T46QBM_00000000000000000006,md_acchu_sheik_dha33,4/2/2019,0.417002448,702.1917808,840.1506849,1821.986301,1628.876712,985.3493151,1625.876712,1788.09589,669.9863014,978.0684932,572.4041096
2_20190402T042701_20190402T044018_T45QZG_00000000000000000006,md_acchu_sheik_dha33,4/2/2019,0.426760156,695.7086093,829.8874172,1873.258278,1657.788079,965.3774834,1700.807947,1888.490066,664.9006623,974.6887417,536.781457
2_20190407T042709_20190407T044140_T46QBM_00000000000000000006,md_acchu_sheik_dha33,4/7/2019,0.539052312,462.890411,856.3219178,3356.952055,2831.965753,1474.136986,2759.09589,3273.226027,848.6917808,2146.39726,1299.541096
2_20190407T042709_20190407T044140_T45QZG_00000000000000000006,md_acchu_sheik_dha33,4/7/2019,0.547422764,454.3708609,859,3408.662252,2913.284768,1472.271523,2798.483444,3304.913907,849.8675497,2126.89404,1333.695364
2_20190417T042709_20190417T043607_T46QBM_00000000000000000006,md_acchu_sheik_dha33,4/17/2019,0.736597201,394.1849315,848.2876712,3859.219178,3810.349315,1424.589041,3141.267123,3617.417808,577.9452055,2453.109589,1467.232877
2_20190417T042709_20190417T043607_T45QZG_00000000000000000006,md_acchu_sheik_dha33,4/17/2019,0.741448117,377.7682119,831.2384106,3886.019868,3833.198675,1383.801325,3181.622517,3667.874172,569.0463576,2419.582781,1398.311258
2_20190422T042711_20190422T043605_T45QZG_00000000000000000006,md_acchu_sheik_dha33,4/22/2019,0.228459779,989.8145695,1384.291391,2967.801325,2489.933775,1755.15894,2660.390728,2916.768212,1561.774834,2873.887417,2218.225166
2_20190422T042711_20190422T043605_T46QBM_00000000000000000006,md_acchu_sheik_dha33,4/22/2019,0.239052586,988.0753425,1383.410959,3171.773973,2515.061644,1772.143836,2602.184932,2874.547945,1544.273973,2910.486301,2230.890411
2_20190427T042709_20190427T044045_T45QZG_00000000000000000006,md_acchu_sheik_dha33,4/27/2019,0.268702183,1827.960265,1982.596026,3615.05298,3285.139073,2260.456954,3016.192053,3441.086093,1890.423841,3448.701987,2835.84106
2_20190427T042709_20190427T044045_T46QBM_00000000000000000006,md_acchu_sheik_dha33,4/27/2019,0.275491494,1837.849315,1992.054795,3712.671233,3315.205479,2295.493151,3086.376712,3554.417808,1881.205479,3447.575342,2812.664384
2_20190502T042711_20190502T042707_T46QBM_00000000000000000006,md_acchu_sheik_dha33,5/2/2019,0.182582195,1350.260274,1775.753425,3422.089041,2854.753425,2283.39726,2873.136986,3239.760274,1967.794521,3741.938356,3200.356164
2_20190502T042711_20190502T042707_T45QZG_00000000000000000006,md_acchu_sheik_dha33,5/2/2019,0.171505979,1355.311258,1783.81457,3283.450331,2821.152318,2228.94702,2786.403974,3016.072848,1984.211921,3720.97351,3224.370861
2_20190507T042709_20190507T043011_T45QZG_00000000000000000006,md_acchu_sheik_dha33,5/7/2019,0.164039555,856.6092715,1183.986755,2147.642384,1941.781457,1474.456954,1763.377483,1992.662252,1388.18543,2432.039735,2044.516556
2_20190507T042709_20190507T043011_T46QBM_00000000000000000006,md_acchu_sheik_dha33,5/7/2019,0.237795179,1026.582192,1241.136986,2311.719178,2104.938356,1515.013699,1972.308219,2218.19863,1294.191781,2347.486301,1977.582192
2_20190512T042711_20190512T042707_T46QBM_00000000000000000006,md_acchu_sheik_dha33,5/12/2019,0.251174922,1382.465753,1612.424658,3030.267123,2690.575342,1915.09589,2586.143836,2837.09589,1610.30137,2762.479452,2195.376712
2_20190512T042711_20190512T042707_T45QZG_00000000000000000006,md_acchu_sheik_dha33,5/12/2019,0.247755105,1392.754967,1631.337748,3032.847682,2714.238411,1949.960265,2589.304636,2858.317881,1636.145695,2828.178808,2214.476821
2_20190522T042711_20190522T043836_T46QBM_00000000000000000006,md_acchu_sheik_dha33,5/22/2019,0.401356831,1535.821918,1673.794521,3765.808219,3364.424658,2014.486301,3211.19863,3518.136986,1438.986301,3146.164384,2293.547945
2_20190522T042711_20190522T043836_T45QZG_00000000000000000006,md_acchu_sheik_dha33,5/22/2019,0.405226893,1624.119205,1765.655629,3816.456954,3523.721854,2086.721854,3263.370861,3566.417219,1495.192053,3168.238411,2313.887417
2_20190527T042709_20190527T044047_T46QBM_00000000000000000006,md_acchu_sheik_dha33,5/27/2019,0.571240733,807.2945205,1074,3269.5,3046.575342,1475.123288,2707.013699,3119.30137,831.6575342,2462.732877,1602.39726
2_20190527T042709_20190527T044047_T45QZG_00000000000000000006,md_acchu_sheik_dha33,5/27/2019,0.570807256,813.3046358,1090.675497,3281.761589,3109.980132,1448.682119,2703.589404,3179.523179,848.9205298,2417.94702,1571.874172
2_20190611T042711_20190611T042706_T46QBM_00000000000000000006,md_acchu_sheik_dha33,6/11/2019,0.693676092,863.9109589,1163.041096,4360.993151,4300.513699,1563.116438,3493.321918,4133.246575,777.6643836,2790.383562,1638.657534
2_20190611T042711_20190611T042706_T45QZG_00000000000000000006,md_acchu_sheik_dha33,6/11/2019,0.69199099,871.2649007,1165.470199,4349.615894,4331.516556,1496.754967,3440.854305,4090.735099,786.218543,2709.629139,1596.854305
2_20190621T042711_20190621T043605_T46QBM_00000000000000000006,md_acchu_sheik_dha33,6/21/2019,0.528655059,622.7191781,1027.890411,3181.972603,2936.205479,1546.849315,2732.808219,3089.390411,904.6780822,2195.609589,1573.164384
2_20190621T042711_20190621T043605_T45QZG_00000000000000000006,md_acchu_sheik_dha33,6/21/2019,0.534130301,605.1059603,1034.119205,3252.304636,2999.629139,1501.059603,2739.172185,3144.562914,909.2317881,2205.350993,1582.980132
2_20181223T043201_20181223T043736_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,12/23/2018,0.288648649,698,1000,1822,1788,1317,1662,1731,987,2107,1705
2_20181223T043201_20181223T043736_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,12/23/2018,0.293613471,745.6722689,1008.663866,1833,1812.672269,1325,1666,1727,989.8235294,2145,1753
2_20181228T043209_20181228T043927_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,12/28/2018,0.367423282,950.8655462,1160.739496,2149,2305.680672,1492,1965,2140,1066.739496,2439,2087
2_20181228T043209_20181228T043927_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,12/28/2018,0.34991119,966,1174,2179,2280,1479,1971,2158,1098,2375,1998
2_20190102T043151_20190102T043514_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/2/2019,0.525500141,527,1005,2777,2707,1454,2613,2707,842,2385,1784
2_20190102T043151_20190102T043514_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/2/2019,0.54502546,529.5546218,999.789916,2658,2786.319328,1475,2468,2556,820.512605,2445,1894
2_20190107T043149_20190107T043708_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/7/2019,0.584125555,586.6554622,994.7058824,2796,3129.672269,1441,2550,2850,821.7394958,2453,1940
2_20190107T043149_20190107T043708_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/7/2019,0.520167627,628,1030,2923,2902,1452,2684,3015,916,2349,1827
2_20190112T043141_20190112T043642_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/12/2019,0.524951671,882.2016807,1254.319328,3096,3307.294118,1615,2663,2887,1030.453782,2238,1549
2_20190112T043141_20190112T043642_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/12/2019,0.504273504,869,1240,3133,3168,1648,2746,2968,1044,2192,1508
2_20190117T043119_20190117T043639_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/17/2019,0.50924371,794.1932773,1310.705882,3111,3454.184874,1672,2654,3040,1123.12605,2265,1716
2_20190122T043101_20190122T043322_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/22/2019,0.548785628,626.5966387,1310.957983,3285,3739.277311,1697,2966,3302,1089.361345,2135,1515
2_20190122T043101_20190122T043322_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/22/2019,0.550618319,625,1310,3354,3699,1761,2973,3450,1072,2086,1427
2_20190127T043039_20190127T043627_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/27/2019,0.449010654,922,1250,2982,2856,1555,2522,2814,1086,2087,1492
2_20190127T043039_20190127T043627_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/27/2019,0.47976431,900.210084,1234.621849,2932,2993.563025,1537,2493,2740,1052.352941,2177,1586
2_20190201T043011_20190201T044135_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/1/2019,0.709975218,416.9747899,825.7394958,3079,3209.07563,1327,2544,2893,544.2521008,1930,1288
2_20190201T043011_20190201T044135_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,2/1/2019,0.74056353,335,815,3120,3274,1312,2542,2831,488,1862,1262
2_20190206T042949_20190206T043539_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,2/6/2019,0.554073645,706,930,2636,2680,1273,2158,2463,769,1815,1342
2_20190206T042949_20190206T043539_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/6/2019,0.56236908,711.5546218,925.5882353,2694,2708.87395,1296,2177,2485,758.6722689,1913,1394
2_20190211T042921_20190211T043121_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/11/2019,0.651989994,470.0084034,844.5042017,2897,2927.831933,1333,2476,2777,617.1344538,1964,1330
2_20190211T042921_20190211T043121_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,2/11/2019,0.656758273,456,824,2785,2954,1314,2378,2718,612,1949,1311
2_20190221T042811_20190221T043725_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/21/2019,0.456785437,655.7310924,872.6134454,2340,2179.87395,1269,1966,2143,812.8571429,1962,1395
